"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"NORTH WEST, Libraries, archives, museums and other cultural activities ",91,x,13.32,4.7,18.40,24.6,x,x,x,12.40,12.79,x,x,x,x,x,,,,,,,,
"NORTH WEST, Gambling and betting activities ",92,7,12.06,0.3,15.94,4.5,11.44,11.50,11.74,11.80,11.90,12.47,x,x,x,x,,,,,,,,
"NORTH WEST, Sports activities and amusement and recreation activities ",93,33,12.91,11.0,16.54,15.0,9.65,11.44,11.47,11.66,12.32,13.80,14.69,15.80,16.22,x,,,,,,,,
"NORTH WEST, OTHER SERVICE ACTIVITIES ",S,46,14.28,6.9,17.77,9.1,11.41,11.50,11.71,12.23,13.12,15.33,17.23,19.14,20.79,x,,,,,,,,
"NORTH WEST, Activities of membership organisations ",94,24,15.33,0.0,19.78,10.0,11.47,12.22,12.83,13.31,14.29,16.68,19.10,19.86,x,x,,,,,,,,
"NORTH WEST, Repair of computers and personal and household goods ",95,x,14.36,11.3,19.21,11.3,x,x,x,x,13.37,x,x,x,x,x,,,,,,,,
"NORTH WEST, Other personal service activities ",96,19,12.60,9.6,15.18,9.2,11.28,x,11.44,11.44,11.75,13.47,15.00,16.25,x,x,,,,,,,,
"NORTH WEST, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,11,12.10,8.2,12.81,5.5,10.87,11.44,11.50,x,12.00,12.48,12.60,13.09,x,x,,,,,,,,
"NORTH WEST, Activities of households as employers of domestic personnel ",97,11,12.10,8.2,12.81,5.5,10.87,11.44,11.50,x,12.00,12.48,12.60,13.09,x,x,,,,,,,,
"NORTH WEST, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, Activities of extraterritorial organisations and bodies ",99,..,,,,,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber All Industries and Services,,"2,208",15.85,8.0,19.59,7.6,11.54,12.24,12.61,13.08,14.31,17.95,20.56,22.31,24.38,30.61,,,,,,,,
Yorkshire and The Humber All Index of Production Industries,,275,16.82,4.7,19.71,5.4,11.92,13.00,13.58,14.05,15.26,18.67,21.32,22.85,24.43,31.00,,,,,,,,
Yorkshire and The Humber All Manufacturing,,245,16.71,4.8,19.47,5.4,11.88,12.92,13.40,13.96,15.07,18.51,21.05,22.72,24.19,29.90,,,,,,,,
Yorkshire and The Humber All Service Industries,,"1,841",15.54,8.2,19.52,8.0,11.50,12.10,12.49,12.94,14.10,17.70,20.34,22.15,24.27,30.34,,,,,,,,
"YORKSHIRE AND THE HUMBER, AGRICULTURE, FORESTRY AND FISHING ",A,13,13.00,6.2,14.27,3.7,11.38,11.45,11.49,11.78,12.39,14.18,15.87,16.22,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Crop and animal production, hunting and related service activities ",1,12,13.00,6.6,14.24,3.5,11.24,11.44,11.49,11.73,12.35,13.83,15.95,16.33,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Forestry and logging ",2,x,13.78,,14.96,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, MINING AND QUARRYING ",B,x,14.78,1.3,15.68,9.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Other mining and quarrying ",8,x,14.33,-3.6,15.69,9.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Mining support service activities ",9,..,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, MANUFACTURING ",C,245,16.71,4.8,19.47,5.4,11.88,12.92,13.40,13.96,15.07,18.51,21.05,22.72,24.19,29.90,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of food products ",10,43,14.28,1.8,17.21,3.7,11.60,11.97,12.44,12.65,13.37,14.87,16.51,17.74,19.46,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of beverages ",11,x,19.46,12.1,22.40,11.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of textiles ",13,7,13.73,3.4,17.39,9.3,x,11.77,11.96,12.39,12.87,15.41,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of wearing apparel ",14,x,x,,15.74,36.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of leather and related products ",15,..,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,8,15.68,8.7,17.90,7.5,x,12.60,13.17,13.77,14.98,16.69,18.35,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of paper and paper products ",17,x,18.44,17.9,21.07,14.6,x,x,x,13.69,16.78,22.17,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Printing and reproduction of recorded media ",18,10,14.10,-5.7,16.50,-2.4,x,11.67,11.83,12.02,13.09,15.09,16.90,17.74,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of coke and refined petroleum products ",19,x,33.10,6.8,33.21,4.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of chemicals and chemical products ",20,10,19.86,-1.5,21.03,-4.3,x,14.67,15.23,16.19,17.36,22.14,24.22,24.53,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,18.53,13.6,22.03,13.4,x,x,x,x,16.61,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of rubber and plastic products ",22,14,14.70,3.3,18.32,8.5,11.55,12.12,12.64,13.00,14.01,16.50,19.37,20.18,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of other non-metallic mineral products ",23,13,19.25,-0.3,22.15,5.2,13.09,14.35,14.96,16.10,17.91,21.45,23.74,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of basic metals ",24,13,21.85,21.3,23.22,12.9,15.15,16.60,16.96,17.62,19.76,23.38,24.24,25.26,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of fabricated metal products, except machinery and equipment ",25,36,17.51,7.6,19.01,4.9,12.60,13.50,14.00,14.59,15.83,18.93,20.92,22.17,23.89,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of computer, electronic and optical products ",26,x,16.46,15.2,18.57,2.5,x,x,x,x,15.34,18.18,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of electrical equipment ",27,10,19.15,5.8,21.71,12.7,12.39,13.58,13.95,14.53,17.32,20.79,24.05,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of machinery and equipment n.e.c. ",28,18,19.12,7.0,22.67,7.4,13.03,14.96,15.96,16.44,18.43,21.29,25.17,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of motor vehicles, trailers and semi-trailers ",29,8,15.79,-2.1,17.23,-2.3,x,13.20,13.43,13.61,14.67,17.10,18.43,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of other transport equipment ",30,x,21.16,-4.7,20.94,-27.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Manufacture of furniture ",31,17,14.42,15.1,17.52,9.5,11.49,12.03,12.40,12.57,13.09,15.55,17.35,18.01,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Other manufacturing ",32,10,17.01,16.9,19.49,9.0,x,12.48,12.86,13.07,14.97,18.00,21.46,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Repair and installation of machinery and equipment ",33,6,17.15,-8.0,19.63,-2.5,x,x,14.37,14.95,16.61,18.88,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,8,26.52,-7.6,31.18,-2.9,x,18.58,19.40,19.69,23.79,31.96,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Electricity, gas, steam and air conditioning supply ",35,8,26.52,-7.6,31.18,-2.9,x,18.58,19.40,19.69,23.79,31.96,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,19,16.57,3.5,18.74,8.5,12.20,13.78,14.33,14.66,15.72,18.63,20.45,21.15,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Water collection, treatment and supply ",36,7,21.14,12.4,22.69,13.0,x,17.86,18.61,18.64,19.33,21.74,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Sewerage ",37,x,14.22,-7.4,14.78,-12.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Waste collection, treatment and disposal activities; materials recovery ",38,11,15.27,7.3,17.07,8.2,x,13.44,13.72,13.97,14.52,16.18,16.55,17.68,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Remediation activities and other waste management services ",39,x,12.96,26.5,15.26,53.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, CONSTRUCTION ",F,79,18.44,6.6,21.22,8.7,12.00,14.00,14.63,15.24,16.52,20.29,22.79,25.06,27.16,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Construction of buildings ",41,23,19.04,5.0,23.35,11.3,12.08,14.07,14.90,15.43,17.03,21.78,25.31,27.12,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Civil engineering ",42,13,19.92,-0.6,22.61,4.6,12.60,13.82,14.87,16.36,17.83,21.65,26.24,31.22,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Specialised construction activities ",43,44,17.35,8.1,19.63,9.8,12.00,13.91,14.55,15.00,16.00,19.48,21.25,22.92,24.92,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,301,13.16,6.3,17.03,6.6,11.44,11.58,11.80,12.00,12.49,14.24,15.99,17.11,18.72,25.00,,,,,,,,
"YORKSHIRE AND THE HUMBER, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,42,14.51,3.6,16.83,6.4,11.57,12.02,12.44,12.72,13.39,15.96,17.14,18.20,19.75,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Wholesale trade, except of motor vehicles and motorcycles ",46,91,15.75,6.0,20.00,8.3,11.64,12.39,12.85,13.16,14.06,17.24,20.07,21.63,24.37,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Retail trade, except of motor vehicles and motorcycles ",47,168,12.30,8.6,14.99,5.4,11.40,11.44,11.50,11.62,11.99,12.81,13.84,14.54,15.33,19.36,,,,,,,,
"YORKSHIRE AND THE HUMBER, TRANSPORTATION AND STORAGE ",H,92,14.95,4.5,17.73,7.0,12.02,12.62,13.02,13.53,14.26,16.30,18.46,19.89,21.42,27.75,,,,,,,,
"YORKSHIRE AND THE HUMBER, Land transport and transport via pipelines ",49,33,14.71,2.2,16.60,5.7,11.50,12.52,12.91,13.34,14.00,15.58,16.70,17.65,19.45,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Water transport ",50,..,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Air transport ",51,x,16.29,14.7,19.10,21.3,x,x,x,13.56,15.07,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Warehousing and support activities for transportation ",52,37,15.44,4.3,18.95,1.0,12.11,12.44,12.74,13.31,14.01,17.69,19.97,21.38,24.77,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Postal and courier activities ",53,17,14.69,4.2,17.03,14.4,12.44,13.40,14.16,14.31,14.45,15.67,17.33,18.42,20.26,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,98,11.64,9.1,12.60,5.9,8.85,11.26,x,11.44,11.45,11.96,12.46,12.74,13.21,15.16,,,,,,,,
"YORKSHIRE AND THE HUMBER, Accommodation ",55,23,12.20,6.1,13.68,3.8,10.70,11.44,11.49,11.53,11.84,12.47,12.96,13.66,14.33,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Food and beverage service activities ",56,75,11.54,9.7,12.20,6.5,8.60,11.21,x,x,11.44,11.79,12.21,12.51,12.98,14.45,,,,,,,,
"YORKSHIRE AND THE HUMBER, INFORMATION AND COMMUNICATION ",J,56,20.49,5.4,24.65,9.3,12.44,14.20,15.42,16.11,18.54,23.18,27.60,29.72,33.47,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Publishing activities ",58,x,16.75,-4.4,20.25,17.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Programming and broadcasting activities ",60,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Telecommunications ",61,12,19.74,4.7,21.96,1.4,12.70,13.99,15.70,16.61,19.07,21.67,26.27,26.89,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Computer programming, consultancy and related activities ",62,34,21.84,3.6,25.93,9.0,12.40,14.33,15.53,16.46,19.16,26.08,29.01,33.35,36.85,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Information service activities ",63,x,x,,19.68,8.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, FINANCIAL AND INSURANCE ACTIVITIES ",K,80,20.97,2.3,27.17,6.7,13.13,14.69,15.89,16.63,18.63,24.64,28.80,33.24,36.29,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Financial service activities, except insurance and pension funding ",64,48,21.79,6.5,27.06,8.4,13.16,14.85,16.13,16.95,18.88,24.95,30.64,34.28,38.10,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Insurance, reinsurance and pension funding, except compulsory social security ",65,12,18.64,-8.5,23.59,1.1,13.16,14.25,14.54,15.41,16.92,22.57,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Activities auxiliary to financial services and insurance activities ",66,20,20.63,0.2,29.59,7.5,12.86,14.86,16.15,17.00,18.68,23.33,26.05,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, REAL ESTATE ACTIVITIES ",L,22,16.52,19.4,19.63,20.9,11.96,12.51,12.90,13.60,14.56,18.43,20.09,20.89,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Real estate activities ",68,22,16.52,19.4,19.63,20.9,11.96,12.51,12.90,13.60,14.56,18.43,20.09,20.89,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,147,18.24,2.3,21.59,1.9,11.96,13.02,13.68,14.45,16.42,21.04,23.95,25.61,28.33,36.47,,,,,,,,
"YORKSHIRE AND THE HUMBER, Legal and accounting activities ",69,48,18.40,1.8,22.30,0.0,11.93,13.06,14.03,14.47,16.41,21.74,24.55,28.14,29.80,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Activities of head offices; management consultancy activities ",70,29,16.86,10.0,19.91,10.1,11.96,12.71,13.27,13.81,14.90,18.51,20.52,22.95,24.67,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Architectural and engineering activities; technical testing and analysis ",71,36,18.23,-1.9,20.74,-1.2,12.00,12.89,13.54,14.35,16.71,20.47,22.65,24.01,26.04,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Scientific research and development ",72,8,24.82,4.0,27.35,9.4,x,16.81,17.08,18.65,19.47,28.49,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Advertising and market research ",73,x,17.28,12.0,21.91,15.2,x,x,13.01,13.50,16.05,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Other professional, scientific and technical activities ",74,12,21.37,26.9,22.93,-0.8,12.51,14.02,14.56,15.65,17.67,23.12,23.91,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Veterinary activities ",75,7,15.46,,19.38,6.0,x,11.85,12.19,13.30,13.76,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,104,13.52,10.1,17.56,17.2,11.44,11.72,11.97,12.01,12.62,14.89,17.39,18.84,20.54,25.89,,,,,,,,
"YORKSHIRE AND THE HUMBER, Rental and leasing activities ",77,13,17.73,9.1,21.17,18.3,11.84,12.69,13.57,13.98,14.97,20.73,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Employment activities ",78,36,13.81,12.6,17.57,22.4,11.44,11.72,12.00,12.36,12.94,14.99,17.32,18.88,20.61,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Travel agency, tour operator and other reservation service and related activities ",79,x,13.67,21.8,14.59,18.6,x,x,x,x,12.83,13.87,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Security and investigation activities ",80,5,12.47,-3.2,14.54,3.2,x,11.76,11.99,12.00,12.00,13.00,14.68,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Services to buildings and landscape activities ",81,21,12.00,9.1,13.98,9.1,x,11.44,11.45,11.57,11.94,12.48,13.59,14.37,15.33,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Office administrative, office support and other business support activities ",82,26,14.06,4.1,18.66,17.1,11.44,11.89,12.00,12.02,12.86,16.14,19.25,21.35,23.99,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,151,18.00,11.3,20.05,7.5,12.99,14.12,14.65,15.23,16.29,19.51,22.08,22.51,24.53,28.97,,,,,,,,
"YORKSHIRE AND THE HUMBER, Public administration and defence; compulsory social security ",84,151,18.00,11.3,20.05,7.5,12.99,14.12,14.65,15.23,16.29,19.51,22.08,22.51,24.53,28.97,,,,,,,,
"YORKSHIRE AND THE HUMBER, EDUCATION ",P,326,18.53,10.7,21.45,6.8,12.18,13.29,13.80,14.48,16.31,20.80,24.27,26.05,27.74,33.60,,,,,,,,
"YORKSHIRE AND THE HUMBER, Education ",85,326,18.53,10.7,21.45,6.8,12.18,13.29,13.80,14.48,16.31,20.80,24.27,26.05,27.74,33.60,,,,,,,,
"YORKSHIRE AND THE HUMBER, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,389,15.70,8.7,19.42,9.7,11.58,12.26,12.50,12.99,14.18,17.96,20.80,22.32,23.65,29.08,,,,,,,,
"YORKSHIRE AND THE HUMBER, Human health activities ",86,261,17.95,6.6,21.37,9.0,11.81,12.83,13.32,14.13,15.94,20.13,22.80,24.03,25.60,31.16,,,,,,,,
"YORKSHIRE AND THE HUMBER, Residential care activities ",87,58,12.56,5.1,14.27,2.3,11.41,11.46,11.55,11.69,12.01,13.07,13.89,14.06,14.78,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Social work activities without accommodation ",88,70,14.60,7.8,16.36,5.4,11.46,12.04,12.30,12.58,13.42,15.53,17.25,18.41,19.58,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, ARTS, ENTERTAINMENT AND RECREATION ",R,39,13.17,9.8,15.59,2.1,10.99,11.45,11.63,11.92,12.50,14.28,16.05,16.74,17.84,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Creative, arts and entertainment activities ",90,x,14.27,16.0,17.92,3.2,x,x,x,x,13.20,15.24,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Libraries, archives, museums and other cultural activities ",91,6,14.57,2.7,16.84,-8.0,x,x,11.68,12.45,13.11,16.36,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Gambling and betting activities ",92,x,12.07,2.9,12.82,10.4,x,x,x,11.80,11.94,12.71,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Sports activities and amusement and recreation activities ",93,26,13.03,11.5,15.28,5.5,9.31,11.44,11.52,11.65,12.28,14.09,15.42,16.72,17.37,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, OTHER SERVICE ACTIVITIES ",S,33,13.57,13.0,16.66,10.9,11.44,11.59,11.80,12.00,12.68,14.49,16.11,17.63,19.67,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Activities of membership organisations ",94,18,14.13,9.4,17.63,17.2,11.44,11.96,12.01,12.37,13.03,15.84,17.28,19.64,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Repair of computers and personal and household goods ",95,x,x,,21.29,8.3,x,x,x,14.28,15.00,x,x,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Other personal service activities ",96,12,12.18,10.3,14.04,7.8,x,x,11.44,11.49,11.84,12.99,13.70,13.97,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,6,12.47,13.5,12.98,11.9,x,x,11.45,11.52,12.00,12.91,13.12,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Activities of households as employers of domestic personnel ",97,6,12.47,13.5,12.98,11.9,x,x,11.45,11.52,12.00,12.91,13.12,x,x,x,,,,,,,,
"YORKSHIRE AND THE HUMBER, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,:,,,,,,,,,,,,,,,,,,,,,,
"YORKSHIRE AND THE HUMBER, Activities of extraterritorial organisations and bodies ",99,:,,,,,,,,,,,,,,,,,,,,,,
East Midlands All Industries and Services,,"1,890",15.38,6.2,19.06,6.4,11.50,12.06,12.49,12.92,14.05,17.40,19.92,21.72,23.68,29.44,,,,,,,,
East Midlands All Index of Production Industries,,280,16.89,5.7,20.33,7.6,12.00,12.93,13.45,14.07,15.32,19.11,21.45,23.68,26.00,32.32,,,,,,,,
East Midlands All Manufacturing,,255,16.85,5.4,20.32,7.5,12.00,12.89,13.40,14.04,15.31,19.12,21.53,23.83,26.15,32.32,,,,,,,,
East Midlands All Service Industries,,"1,521",15.01,6.8,18.69,6.4,11.45,12.00,12.31,12.68,13.74,16.96,19.42,21.24,23.14,28.76,,,,,,,,
"EAST MIDLANDS, AGRICULTURE, FORESTRY AND FISHING ",A,19,14.32,7.0,16.33,2.2,11.44,12.00,12.34,12.50,13.09,15.02,16.29,17.65,x,x,,,,,,,,
"EAST MIDLANDS, Crop and animal production, hunting and related service activities ",1,19,14.28,9.5,16.29,2.3,11.44,11.99,12.16,12.49,13.05,15.02,16.28,17.61,x,x,,,,,,,,
"EAST MIDLANDS, Forestry and logging ",2,x,x,,17.41,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, MINING AND QUARRYING ",B,x,18.73,20.4,20.67,-3.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Other mining and quarrying ",8,x,17.55,12.9,20.77,-3.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Mining support service activities ",9,..,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, MANUFACTURING ",C,255,16.85,5.4,20.32,7.5,12.00,12.89,13.40,14.04,15.31,19.12,21.53,23.83,26.15,32.32,,,,,,,,
"EAST MIDLANDS, Manufacture of food products ",10,51,14.42,5.3,16.94,10.2,11.75,12.24,12.58,12.77,13.53,15.38,16.70,17.93,20.04,x,,,,,,,,
"EAST MIDLANDS, Manufacture of beverages ",11,x,x,,19.34,9.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"EAST MIDLANDS, Manufacture of textiles ",13,6,13.22,9.4,15.72,12.1,x,11.99,x,12.29,12.90,14.77,16.85,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of wearing apparel ",14,x,11.61,11.4,12.42,12.2,x,x,x,x,x,11.92,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of leather and related products ",15,x,12.89,2.5,16.20,12.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,7,14.36,9.0,17.36,5.1,x,12.93,13.04,13.33,13.90,15.84,17.19,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of paper and paper products ",17,6,15.71,3.1,17.14,-0.9,x,12.21,12.91,13.68,14.48,17.18,18.83,x,x,x,,,,,,,,
"EAST MIDLANDS, Printing and reproduction of recorded media ",18,5,13.41,-15.6,17.54,4.1,x,11.97,x,12.25,12.99,15.80,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of coke and refined petroleum products ",19,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of chemicals and chemical products ",20,6,17.88,15.0,21.56,10.2,x,12.98,13.54,14.19,16.02,22.06,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,13.77,12.2,17.75,19.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of rubber and plastic products ",22,25,16.09,3.3,19.29,7.2,12.13,12.65,13.09,13.62,15.18,17.46,19.17,20.47,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of other non-metallic mineral products ",23,9,18.82,18.8,20.38,6.8,x,13.66,13.91,14.60,15.92,22.14,23.85,x,x,x,,,,,,,,
"EAST MIDLANDS, Manufacture of basic metals ",24,x,19.91,11.4,22.57,14.7,x,x,x,15.67,17.93,21.28,x,x,x,x,,,,,,,,
